camera_view,person,session,filename,path,size_mb,sync_group,has_synchronized_pairs,synchronized_cam_side_l,synchronized_cam_side_r,synchronized_cam_top
cam_top,zolti,session1,Basler_a2A1920-160ucBAS__40401031__20250219_174633297.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session1/Basler_a2A1920-160ucBAS__40401031__20250219_174633297.mp4,130.98,zolti_session1_1,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174632380.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174631639.mp4,
cam_top,zolti,session1,Basler_a2A1920-160ucBAS__40401031__20250219_174807660.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session1/Basler_a2A1920-160ucBAS__40401031__20250219_174807660.mp4,130.03,zolti_session1_2,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174806746.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174805945.mp4,
cam_top,zolti,session1,Basler_a2A1920-160ucBAS__40401031__20250219_174950347.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session1/Basler_a2A1920-160ucBAS__40401031__20250219_174950347.mp4,130.15,zolti_session1_3,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174949435.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_174948489.mp4,
cam_top,zolti,session1,Basler_a2A1920-160ucBAS__40401031__20250219_175133280.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/zolti/session1/Basler_a2A1920-160ucBAS__40401031__20250219_175133280.mp4,130.67,zolti_session1_4,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_175132281.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/zolti/session1/Basler_a2A1920-160ucBAS__40399460__20250219_175131412.mp4,
cam_top,calibration,,Basler_a2A1920-160ucBAS__40401031__20250219_181325278.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/calibration/Basler_a2A1920-160ucBAS__40401031__20250219_181325278.mp4,118.63,calibration_0,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/calibration/Basler_a2A1920-160ucBAS__40399468__20250219_181319743.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/calibration/Basler_a2A1920-160ucBAS__40399460__20250219_181316256.mp4,
cam_top,calibration,,Basler_a2A1920-160ucBAS__40401031__20250219_181535346.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/calibration/Basler_a2A1920-160ucBAS__40401031__20250219_181535346.mp4,128.9,calibration_1,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/calibration/Basler_a2A1920-160ucBAS__40399468__20250219_181537429.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/calibration/Basler_a2A1920-160ucBAS__40399460__20250219_181539758.mp4,
cam_side_r,imi,session2,Basler_a2A1920-160ucBAS__40399460__20250219_172359956.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session2/Basler_a2A1920-160ucBAS__40399460__20250219_172359956.mp4,129.4,imi_session2_0,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172403366.mp4,,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172406792.mp4
cam_side_r,imi,session2,Basler_a2A1920-160ucBAS__40399460__20250219_172541659.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session2/Basler_a2A1920-160ucBAS__40399460__20250219_172541659.mp4,132.38,imi_session2_1,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172548519.mp4,,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172556465.mp4
cam_side_r,imi,session2,Basler_a2A1920-160ucBAS__40399460__20250219_172727312.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session2/Basler_a2A1920-160ucBAS__40399460__20250219_172727312.mp4,132.65,imi_session2_2,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172733419.mp4,,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172737019.mp4
cam_side_r,imi,session2,Basler_a2A1920-160ucBAS__40399460__20250219_172907134.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_r/imi/session2/Basler_a2A1920-160ucBAS__40399460__20250219_172907134.mp4,1.74,imi_session2_3,True,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session2/Basler_a2A1920-160ucBAS__40399468__20250219_172911220.mp4,,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_top/imi/session2/Basler_a2A1920-160ucBAS__40401031__20250219_172913320.mp4
