camera_view,person,session,filename,path,size_mb,sync_group
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_170320088.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_170320088.mp4,130.1,Basler_a2A1920-160ucBAS__40399468__20250219_170320088
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_172041530.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_172041530.mp4,136.05,Basler_a2A1920-160ucBAS__40399468__20250219_172041530
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_171301962.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171301962.mp4,132.2,Basler_a2A1920-160ucBAS__40399468__20250219_171301962
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_171858831.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171858831.mp4,131.8,Basler_a2A1920-160ucBAS__40399468__20250219_171858831
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_171009827.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171009827.mp4,130.19,Basler_a2A1920-160ucBAS__40399468__20250219_171009827
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_170702025.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_170702025.mp4,75.09,Basler_a2A1920-160ucBAS__40399468__20250219_170702025
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_171704628.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171704628.mp4,132.99,Basler_a2A1920-160ucBAS__40399468__20250219_171704628
cam_side_l,imi,session1,Basler_a2A1920-160ucBAS__40399468__20250219_171457812.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/imi/session1/Basler_a2A1920-160ucBAS__40399468__20250219_171457812.mp4,134.06,Basler_a2A1920-160ucBAS__40399468__20250219_171457812
cam_side_l,zolti,session2,Basler_a2A1920-160ucBAS__40399468__20250219_180129889.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_180129889.mp4,130.25,Basler_a2A1920-160ucBAS__40399468__20250219_180129889
cam_side_l,zolti,session2,Basler_a2A1920-160ucBAS__40399468__20250219_175346432.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175346432.mp4,130.68,Basler_a2A1920-160ucBAS__40399468__20250219_175346432
cam_side_l,zolti,session2,Basler_a2A1920-160ucBAS__40399468__20250219_175519800.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175519800.mp4,132.43,Basler_a2A1920-160ucBAS__40399468__20250219_175519800
cam_side_l,zolti,session2,Basler_a2A1920-160ucBAS__40399468__20250219_175745154.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175745154.mp4,129.9,Basler_a2A1920-160ucBAS__40399468__20250219_175745154
cam_side_l,zolti,session2,Basler_a2A1920-160ucBAS__40399468__20250219_175938455.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session2/Basler_a2A1920-160ucBAS__40399468__20250219_175938455.mp4,138.84,Basler_a2A1920-160ucBAS__40399468__20250219_175938455
cam_side_l,zolti,session1,Basler_a2A1920-160ucBAS__40399468__20250219_174949435.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174949435.mp4,130.14,Basler_a2A1920-160ucBAS__40399468__20250219_174949435
cam_side_l,zolti,session1,Basler_a2A1920-160ucBAS__40399468__20250219_174452544.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174452544.mp4,130.72,Basler_a2A1920-160ucBAS__40399468__20250219_174452544
cam_side_l,zolti,session1,Basler_a2A1920-160ucBAS__40399468__20250219_175132281.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_175132281.mp4,130.64,Basler_a2A1920-160ucBAS__40399468__20250219_175132281
cam_side_l,zolti,session1,Basler_a2A1920-160ucBAS__40399468__20250219_174806746.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174806746.mp4,130.04,Basler_a2A1920-160ucBAS__40399468__20250219_174806746
cam_side_l,zolti,session1,Basler_a2A1920-160ucBAS__40399468__20250219_174632380.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/zolti/session1/Basler_a2A1920-160ucBAS__40399468__20250219_174632380.mp4,130.99,Basler_a2A1920-160ucBAS__40399468__20250219_174632380
cam_side_l,calibration,,Basler_a2A1920-160ucBAS__40399468__20250219_181319743.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/calibration/Basler_a2A1920-160ucBAS__40399468__20250219_181319743.mp4,118.61,Basler_a2A1920-160ucBAS__40399468__20250219_181319743
cam_side_l,calibration,,Basler_a2A1920-160ucBAS__40399468__20250219_181537429.mp4,/nas/project_data/B1_Behavior/rush/mb_inhouse/mb_imi_zolti_/mb/cam_side_l/calibration/Basler_a2A1920-160ucBAS__40399468__20250219_181537429.mp4,128.83,Basler_a2A1920-160ucBAS__40399468__20250219_181537429
